,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions,prompt_length,prompt_word_count,custom_score_100,custom_grade,rank_band,has_keywords,keyword_count,keyword_density
5223,image,"Role: UI/UX designer for human resources products.
Task: Design a mockup for develop quality assurance checklist.
Instructions: Follow modern UI trends, prioritize accessibility.
Constraints: Must comply with WCAG 2.1 AA standards.
Output Format: Wireframe description + visual design specs + interaction notes.",high,87,B,0.2,4,4,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,315,42,76.55,B,Good,1,1,0.023809523809523808
5224,document,"Role: Technical writer specializing in education documentation.
Task: Create a user manual section for create budget proposal.
Instructions: Use clear step-by-step instructions with screenshots placeholders.
Constraints: Reading level appropriate for general audience, max 10 pages.
Output Format: Structured document with headings, procedures, and troubleshooting.",high,97,A,0.24,5,4,4,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,369,44,79.0,B,Good,0,0,0.0
5225,data_analysis,"Role: Data scientist specializing in sports analytics.
Task: Analyze a dataset to understand analyze customer feedback patterns.
Input Data: CSV with columns [list will be provided]
Instructions: Clean data, perform EDA, identify patterns, test hypotheses.
Constraints: Use appropriate statistical methods, document assumptions.
Output Format: Analysis plan + code + visualizations + interpretation.",high,89,B,0.15,5,5,4,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,404,52,82.69,B,Good,1,3,0.057692307692307696
5226,document,"Role: Policy writer for human resources organizations.
Task: Draft a policy document regarding analyze website traffic patterns.
Context: Must align with industry regulations and best practices.
Constraints: Formal tone, legally compliant language.
Output Format: Policy statement + scope + procedures + compliance requirements.",high,86,B,0.09,4,4,4,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,332,43,76.29,B,Good,1,1,0.023255813953488372
5227,creative,creative build dashboard for KPI tracking,low,51,F,0.86,1,1,1,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,41,6,20.83,F,Very Poor,0,0,0.0
5228,data_analysis,Analyze data on design e-learning course module for education insights. Charts and summary.,medium,65,D,0.49,2,2,2,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,91,13,41.52,D,Poor,1,1,0.07692307692307693
5229,email,"Role: Professional copywriter for finance communications.
Task: Write a cold outreach email for create user survey questions.
Instructions: Personalized opening, clear value proposition, soft CTA.
Constraints: Under 150 words, professional but approachable tone.
Output Format: Subject line options + email body + follow-up sequence.",high,85,B,0.2,4,4,5,3,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,337,44,76.74,B,Good,0,0,0.0
5230,report,develop content calendar summary,low,35,F,0.68,2,2,1,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,32,4,31.51,F,Very Poor,0,0,0.0
5231,post,"Role: Community manager for engineering forums.
Task: Draft an announcement post about create crisis management protocol.
Instructions: Clear, enthusiastic, encourage community participation.
Constraints: Include relevant links, moderate length.
Output Format: Post content + formatting suggestions + reply templates.",high,90,A,0.13,4,5,5,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,321,38,92.16,A,Excellent,0,0,0.0
5232,image,draw write job description,low,26,F,0.61,2,1,1,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,26,4,26.22,F,Very Poor,0,0,0.0
5233,creative,story create budget proposal,low,60,D,0.82,1,1,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,28,4,23.98,F,Very Poor,0,0,0.0
5234,data_analysis,implement payment processing numbers,low,55,F,0.75,2,2,1,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,36,4,27.56,F,Very Poor,0,0,0.0
5235,other,"Role: Project manager for technology initiatives.
Task: Create a project plan for analyze churn rate factors.
Instructions: Define scope, milestones, resources, risks.
Constraints: 6-month timeline, budget constraints, 5-person team.
Output Format: Project charter + WBS + timeline + risk register.",high,85,B,0.19,5,5,5,3,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,302,40,85.39,A,Excellent,1,2,0.05
5236,other,write executive briefing stuff,low,26,F,0.9,1,1,2,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,30,4,23.05,F,Very Poor,0,0,0.0
5237,post,"Role: Content creator for research communities.
Task: Write a Twitter thread about analyze supply chain efficiency.
Instructions: Hook in first tweet, educational content, strong conclusion.
Constraints: 8-10 tweets, each under 280 characters.
Output Format: Full thread with engagement prompts for each tweet.",high,85,B,0.07,5,4,5,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,314,42,85.83,A,Excellent,1,1,0.023809523809523808
5238,video,clip showing write executive briefing,low,60,D,0.66,1,2,1,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,37,5,25.82,F,Very Poor,1,1,0.2
5239,creative,Write creative piece about build recommendation engine in marketing context. Engaging style.,medium,65,D,0.45,3,2,2,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,92,12,42.3,D,Poor,0,0,0.0
5240,creative,"Role: Creative writer specializing in healthcare narratives.
Task: Write a short story opening (500 words) about create stakeholder communication plan.
Instructions: Establish compelling protagonist, hint at conflict, set tone.
Constraints: Third-person limited perspective, contemporary setting.
Output Format: Story excerpt + character brief + potential plot directions.",high,88,B,0.23,5,5,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,376,46,83.55,B,Good,0,0,0.0
5241,email,Email needed: create employee onboarding materials proposal for media prospect.,medium,74,C,0.52,3,4,4,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,79,10,54.81,D,Poor,0,0,0.0
5242,report,analysis of analyze customer feedback patterns,low,30,F,0.86,1,2,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,46,6,26.2,F,Very Poor,1,1,0.16666666666666666
5243,post,Post needed: create budget proposal update for entertainment followers.,medium,66,D,0.34,4,2,3,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,71,9,55.93,C,Average,0,0,0.0
5244,creative,Draft narrative about analyze website traffic patterns set in media world.,medium,84,B,0.48,2,4,2,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,74,11,52.31,D,Poor,1,1,0.09090909090909091
5245,code,I need a function that can create training video content. It should be in Python and work for customer service data.,medium,79,C,0.35,3,2,4,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,116,21,52.15,D,Poor,0,0,0.0
5246,report,report design e-learning course module,low,33,F,0.93,2,2,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,38,5,27.61,F,Very Poor,0,0,0.0
5247,creative,"Role: Brand storyteller for customer service companies.
Task: Create a brand origin story about build chatbot for customer support.
Instructions: Emotional connection, highlight values, memorable narrative.
Constraints: 400 words, authentic voice, avoid clichés.
Output Format: Narrative story + key themes + usage guidelines.",high,86,B,0.15,4,4,4,3,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,330,43,74.22,B,Good,0,0,0.0
5248,image,"Role: UI/UX designer for legal products.
Task: Design a mockup for create competitor analysis.
Instructions: Follow modern UI trends, prioritize accessibility.
Constraints: Must comply with WCAG 2.1 AA standards.
Output Format: Wireframe description + visual design specs + interaction notes.",high,96,A,0.24,4,5,5,4,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,296,40,83.37,B,Good,0,0,0.0
5249,other,"Role: Project manager for real estate initiatives.
Task: Create a project plan for create investor pitch materials.
Instructions: Define scope, milestones, resources, risks.
Constraints: 6-month timeline, budget constraints, 5-person team.
Output Format: Project charter + WBS + timeline + risk register.",high,85,B,0.21,4,4,5,3,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,308,41,76.37,B,Good,1,1,0.024390243902439025
